Тип_документа;Документ;Описание_документа;Ду;D1;D2;D3;D4;D5;h1;h2;h3;d;n;Наименование_фланца
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;10;15;15;75;35;50;0;8;2;11;4;Фланец 1-10-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;15;19;19;80;40;55;0;8;2;11;4;Фланец 1-15-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;20;26;26;90;50;65;0;10;2;11;4;Фланец 1-20-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;25;33;33;100;60;75;0;10;2;11;4;Фланец 1-25-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;32;39;39;120;70;90;0;10;2;14;4;Фланец 1-32-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;40;46;46;130;80;100;0;10;3;14;4;Фланец 1-40-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;50;59;59;140;90;110;0;10;3;14;4;Фланец 1-50-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;65;78;78;160;110;130;0;11;3;14;4;Фланец 1-65-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;80;91;91;185;128;150;0;11;3;18;4;Фланец 1-80-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;100(110);110;110;205;148;170;0;11;3;18;4;Фланец 1-100(110)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;100(116);116;116;205;148;170;0;11;3;18;4;Фланец 1-100(116)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;125(135);135;135;235;178;200;0;13;3;18;8;Фланец 1-125(135)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;125(142);142;142;235;178;200;0;13;3;18;8;Фланец 1-125(142)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;150(154);154;154;260;202;225;0;13;3;18;8;Фланец 1-150(154)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;150(161);161;161;260;202;225;0;13;3;18;8;Фланец 1-150(161)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;150(170);170;170;260;202;225;0;13;3;18;8;Фланец 1-150(170)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(175);196;196;290;232;255;0;13;3;18;8;Фланец 1-(175)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;200;222;222;315;258;280;0;15;3;18;8;Фланец 1-200-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(225);245;245;340;282;305;0;17;3;18;8;Фланец 1-(225)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;250;273;273;370;312;335;0;18;3;18;12;Фланец 1-250-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;300;325;325;435;365;395;0;18;4;22;12;Фланец 1-300-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;350;377;377;485;415;445;0;18;4;22;12;Фланец 1-350-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;400;426;426;535;465;495;0;18;4;22;16;Фланец 1-400-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(450);480;480;590;520;550;0;20;4;22;16;Фланец 1-(450)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;500;530;530;640;570;600;0;20;4;22;20;Фланец 1-500-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;600;630;630;755;670;705;0;20;5;26;20;Фланец 1-600-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(700);720;720;860;775;810;0;21;5;26;24;Фланец 1-(700)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;800;820;820;975;880;920;0;21;5;30;24;Фланец 1-800-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(900);920;920;1075;980;1020;0;23;5;30;24;Фланец 1-(900)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1000;1020;1020;1175;1080;1120;0;25;5;30;28;Фланец 1-1000-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1200;1220;1220;1375;1280;1320;0;25;5;30;32;Фланец 1-1200-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1400;1420;1420;1575;1480;1520;0;27;5;30;36;Фланец 1-1400-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1600;1620;1620;1785;1690;1730;0;27;5;30;40;Фланец 1-1600-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;10;15;15;75;35;50;0;10;2;11;4;Фланец 1-10-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;15;19;19;80;40;55;0;10;2;11;4;Фланец 1-15-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;20;26;26;90;50;65;0;12;2;11;4;Фланец 1-20-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;25;33;33;100;60;75;0;12;2;11;4;Фланец 1-25-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;32;39;39;120;70;90;0;13;2;14;4;Фланец 1-32-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;40;46;46;130;80;100;0;13;3;14;4;Фланец 1-40-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;50;59;59;140;90;110;0;13;3;14;4;Фланец 1-50-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;65;78;78;160;110;130;0;13;3;14;4;Фланец 1-65-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;80;91;91;185;128;150;0;15;3;18;4;Фланец 1-80-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;100(110);110;110;205;148;170;0;15;3;18;4;Фланец 1-100(110)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;100(116);116;116;205;148;170;0;15;3;18;4;Фланец 1-100(116)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;125(135);135;135;235;178;200;0;17;3;18;8;Фланец 1-125(135)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;125(142);142;142;235;178;200;0;17;3;18;8;Фланец 1-125(142)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;150(154);154;154;260;202;225;0;17;3;18;8;Фланец 1-150(154)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;150(161);161;161;260;202;225;0;17;3;18;8;Фланец 1-150(161)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;150(170);170;170;260;202;225;0;17;3;18;8;Фланец 1-150(170)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;(175);196;196;290;232;255;0;19;3;18;8;Фланец 1-(175)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;200;222;222;315;258;280;0;19;3;18;8;Фланец 1-200-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;(225);245;245;340;282;305;0;19;3;18;8;Фланец 1-(225)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;250;273;273;370;312;335;0;20;3;18;12;Фланец 1-250-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;300;325;325;435;365;395;0;20;4;22;12;Фланец 1-300-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;350;377;377;485;415;445;0;22;4;22;12;Фланец 1-350-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;400;426;426;535;465;495;0;24;4;22;16;Фланец 1-400-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;(450);480;480;590;520;550;0;24;4;22;16;Фланец 1-(450)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;500;530;530;640;570;600;0;25;4;22;20;Фланец 1-500-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;600;630;630;755;670;705;0;25;5;26;20;Фланец 1-600-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;(700);720;720;860;775;810;0;27;5;26;24;Фланец 1-(700)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;800;820;820;975;880;920;0;27;5;30;24;Фланец 1-800-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;(900);920;920;1075;980;1020;0;29;5;30;24;Фланец 1-(900)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;1000;1020;1020;1175;1080;1120;0;31;5;30;28;Фланец 1-1000-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;10;15;15;90;42;60;0;10;2;14;4;Фланец 1-10-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;15;19;19;95;47;65;0;10;2;14;4;Фланец 1-15-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;20;26;26;105;58;75;0;12;2;14;4;Фланец 1-20-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;25;33;33;115;68;85;0;12;2;14;4;Фланец 1-25-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;32;39;39;135;78;100;0;14;2;18;4;Фланец 1-32-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;40;46;46;145;88;110;0;15;3;18;4;Фланец 1-40-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;50;59;59;160;102;125;0;15;3;18;4;Фланец 1-50-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;65;78;78;180;122;145;0;17;3;18;4;Фланец 1-65-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;80;91;91;195;133;160;0;17;3;18;8;Фланец 1-80-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;100(110);110;110;215;158;180;0;19;3;18;8;Фланец 1-100(110)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;100(116);116;116;215;158;180;0;19;3;18;8;Фланец 1-100(116)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;125(135);135;135;245;184;210;0;21;3;18;8;Фланец 1-125(135)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;125(142);142;142;245;184;210;0;21;3;18;8;Фланец 1-125(142)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;150(154);154;154;280;212;240;0;21;3;22;8;Фланец 1-150(154)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;150(161);161;161;280;212;240;0;21;3;22;8;Фланец 1-150(161)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;150(170);170;170;280;212;240;0;21;3;22;8;Фланец 1-150(170)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;(175);196;196;310;242;270;0;21;3;22;8;Фланец 1-(175)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;200;222;222;335;268;295;0;21;3;22;8;Фланец 1-200-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;(225);245;245;365;295;325;0;21;3;22;8;Фланец 1-(225)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;250;273;273;390;320;350;0;23;3;22;12;Фланец 1-250-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;300;325;325;440;370;400;0;24;4;22;12;Фланец 1-300-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;350;377;377;500;430;460;0;24;4;22;16;Фланец 1-350-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;400;426;426;565;482;515;0;26;4;26;16;Фланец 1-400-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;(450);480;480;615;532;565;0;26;4;26;20;Фланец 1-(450)-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;500;530;530;670;585;620;0;28;4;26;20;Фланец 1-500-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,0 МПа;Фланцы стальные плоские приварные;600;630;630;780;685;725;0;31;5;30;20;Фланец 1-600-10 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;10;15;15;90;42;60;0;12;2;14;4;Фланец 1-10-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;15;19;19;95;47;65;0;12;2;14;4;Фланец 1-15-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;20;26;26;105;58;75;0;14;2;14;4;Фланец 1-20-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;25;33;33;115;68;85;0;16;2;14;4;Фланец 1-25-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;32;39;39;135;78;100;0;16;2;18;4;Фланец 1-32-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;40;46;46;145;88;110;0;17;3;18;4;Фланец 1-40-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;50;59;59;160;102;125;0;19;3;18;4;Фланец 1-50-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;65;78;78;180;122;145;0;21;3;18;4;Фланец 1-65-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;80;91;91;195;133;160;0;21;3;18;8;Фланец 1-80-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;100(110);110;110;215;158;180;0;23;3;18;8;Фланец 1-100(110)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;100(116);116;116;215;158;180;0;23;3;18;8;Фланец 1-100(116)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;125(135);135;135;245;184;210;0;25;3;18;8;Фланец 1-125(135)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;125(142);142;142;245;184;210;0;25;3;18;8;Фланец 1-125(142)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;150(154);154;154;280;212;240;0;25;3;22;8;Фланец 1-150(154)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;150(161);161;161;280;212;240;0;25;3;22;8;Фланец 1-150(161)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;150(170);170;170;280;212;240;0;25;3;22;8;Фланец 1-150(170)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;(175);196;196;310;242;270;0;25;3;22;8;Фланец 1-(175)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;200;222;222;335;268;295;0;27;3;22;12;Фланец 1-200-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;(225);245;245;365;295;325;0;27;3;22;12;Фланец 1-(225)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;250;273;273;405;320;355;0;28;3;26;12;Фланец 1-250-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;300;325;325;460;370;410;0;28;4;26;12;Фланец 1-300-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;350;377;377;520;430;470;0;30;4;26;16;Фланец 1-350-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;400;426;426;580;482;525;0;34;4;30;16;Фланец 1-400-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;(450);480;480;640;532;585;0;38;4;30;20;Фланец 1-(450)-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;500;530;530;710;585;650;0;44;4;33;20;Фланец 1-500-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 1,6 МПа;Фланцы стальные плоские приварные;600;630;630;840;685;770;0;45;5;36;20;Фланец 1-600-16 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;10;15;15;90;42;60;0;14;2;14;4;Фланец 1-10-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;15;19;19;95;47;65;0;14;2;14;4;Фланец 1-15-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;20;26;26;105;58;75;0;16;2;14;4;Фланец 1-20-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;25;33;33;115;68;85;0;16;2;14;4;Фланец 1-25-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;32;39;39;135;78;100;0;18;2;18;4;Фланец 1-32-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;40;46;46;145;88;110;0;19;3;18;4;Фланец 1-40-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;50;59;59;160;102;125;0;21;3;18;4;Фланец 1-50-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;65;78;78;180;122;145;0;21;3;18;8;Фланец 1-65-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;80;91;91;195;133;160;0;23;3;18;8;Фланец 1-80-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;100(110);110;110;230;158;190;0;25;3;22;8;Фланец 1-100(110)-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;100(116);116;116;230;158;190;0;25;3;22;8;Фланец 1-100(116)-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;125(135);135;135;270;184;220;0;27;3;26;8;Фланец 1-125(135)-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;125(142);142;142;270;184;220;0;27;3;26;8;Фланец 1-125(142)-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;150(154);154;154;300;212;250;0;27;3;26;8;Фланец 1-150(154)-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;150(161);161;161;300;212;250;0;27;3;26;8;Фланец 1-150(161)-25 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 2,5 МПа;Фланцы стальные плоские приварные;150(170);170;170;300;212;250;0;27;3;26;8;Фланец 1-150(170)-25 ст. 20 ГОСТ 12820-80
