Тип_документа;Документ;Описание_документа;Ду;Дн;Стенка;Масса;Наименование_трубопровода
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;350;355,6;31,75;253,58;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;400;406,4;36,53;333,21;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;450;457;39,67;408,28;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;500;508;44,45;508,15;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;550;559;47,63;600,67;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;600;610;52,37;720,19;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;15;21,3;4,78;1,95;Pipe DN 15 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;20;26,7;5,56;2,9;Pipe DN 20 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;25;33,4;6,35;4,24;Pipe DN 25 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;32;42,2;6,35;5,61;Pipe DN 32 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;40;48,3;7,14;7,25;Pipe DN 40 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;50;60,3;8,74;11,11;Pipe DN 50 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;65;73;9,53;14,92;Pipe DN 65 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;80;88,9;11,13;21,35;Pipe DN 80 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;100;114,3;13,49;33,54;Pipe DN 100 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;125;141,3;15,88;49,12;Pipe DN 125 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;150;168,3;18,26;67,57;Pipe DN 150 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;200;219,1;23,01;111,27;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;250;273;28,58;172,27;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;300;323,8;33,32;238,69;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;350;355,6;35,71;281,72;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;400;406,4;40,49;365,38;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;450;457;45,24;459,39;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;500;508;50,01;564,85;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;550;559;53,98;672,3;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;600;610;59,54;808,27;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;6;10,3;1,73;0,37;Pipe DN 6 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;8;13,7;2,24;0,63;Pipe DN 8 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;10;17,1;2,31;0,84;Pipe DN 10 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;15;21,3;2,77;1,27;Pipe DN 15 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;20;26,7;2,87;1,69;Pipe DN 20 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;25;33,4;3,38;2,5;Pipe DN 25 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;32;42,2;3,56;3,39;Pipe DN 32 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;40;48,3;3,68;4,05;Pipe DN 40 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;50;60,3;3,91;5,44;Pipe DN 50 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;65;73;5,16;8,63;Pipe DN 65 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;80;88,9;5,49;11,29;Pipe DN 80 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;90;101,6;5,74;13,57;Pipe DN 90 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;100;114,3;6,02;16,08;Pipe DN 100 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;125;141,3;6,55;21,77;Pipe DN 125 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;150;168,3;7,11;28,26;Pipe DN 150 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;200;219,1;8,18;42,55;Pipe DN 200 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;250;273;9,27;60,29;Pipe DN 250 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;300;323,8;9,53;73,86;Pipe DN 300 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;350;355,6;9,53;81,33;Pipe DN 350 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;400;406,4;9,53;93,27;Pipe DN 400 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;450;457;9,53;105,17;Pipe DN 450 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;500;508;9,53;117,15;Pipe DN 500 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;550;559;9,53;129,14;Pipe DN 550 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;600;610;9,53;141,12;Pipe DN 600 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;650;660;9,53;152,88;Pipe DN 650 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;700;711;9,53;164,86;Pipe DN 700 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;750;762;9,53;176,85;Pipe DN 750 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;800;813;9,53;188,83;Pipe DN 800 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;850;864;9,53;200,82;Pipe DN 850 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;900;914;9,53;212,57;Pipe DN 900 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;950;965;9,53;224,56;Pipe DN 950 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1000;1016;9,53;236,54;Pipe DN 1000 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1050;1067;9,53;248,53;Pipe DN 1050 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1100;1118;9,53;260,52;Pipe DN 1100 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1150;1168;9,53;272,27;Pipe DN 1150 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1200;1219;9,53;284,25;Pipe DN 1200 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;6;10,3;2,41;0,47;Pipe DN 6 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;8;13,7;3,02;0,8;Pipe DN 8 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;10;17,1;3,2;1,1;Pipe DN 10 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;15;21,3;3,73;1,62;Pipe DN 15 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;20;26,7;3,91;2,2;Pipe DN 20 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;25;33,4;4,55;3,24;Pipe DN 25 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;32;42,2;4,85;4,47;Pipe DN 32 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;40;48,3;5,08;5,41;Pipe DN 40 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;50;60,3;5,54;7,48;Pipe DN 50 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;65;73;7,01;11,41;Pipe DN 65 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;80;88,9;7,62;15,27;Pipe DN 80 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;90;101,6;8,08;18,64;Pipe DN 90 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;100;114,3;8,56;22,32;Pipe DN 100 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;125;141,3;9,53;30,97;Pipe DN 125 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;150;168,3;10,97;42,56;Pipe DN 150 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;200;219,1;12,7;64,64;Pipe DN 200 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;250;273;12,7;81,53;Pipe DN 250 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;300;323,8;12,7;97,44;Pipe DN 300 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;350;355,6;12,7;107,4;Pipe DN 350 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;400;406,4;12,7;123,31;Pipe DN 400 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;450;457;12,7;139,16;Pipe DN 450 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;500;508;12,7;155,13;Pipe DN 500 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;550;559;12,7;171,1;Pipe DN 550 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;600;610;12,7;187,07;Pipe DN 600 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;650;660;12,7;202,74;Pipe DN 650 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;700;711;12,7;218,71;Pipe DN 700 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;750;762;12,7;234,68;Pipe DN 750 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;800;813;12,7;250,65;Pipe DN 800 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;850;864;12,7;266,63;Pipe DN 850 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;900;914;12,7;282,29;Pipe DN 900 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;950;965;12,7;298,26;Pipe DN 950 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;1000;1016;12,7;314,23;Pipe DN 1000 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;1050;1067;12,7;330,21;Pipe DN 1050 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;1100;1118;12,7;346,18;Pipe DN 1100 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;1150;1168;12,7;361,84;Pipe DN 1150 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;1200;1219;12,7;377,81;Pipe DN 1200 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;15;21,3;7,47;2,55;Pipe DN 15 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;20;26,7;7,82;3,64;Pipe DN 20 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;25;33,4;9,09;5,45;Pipe DN 25 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;32;42,2;9,7;7,77;Pipe DN 32 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;40;48,3;10,15;9,55;Pipe DN 40 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;50;60,3;11,07;13,44;Pipe DN 50 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;65;73;14,02;20,39;Pipe DN 65 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;80;88,9;15,24;27,68;Pipe DN 80 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;100;114,3;17,12;41,03;Pipe DN 100 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;125;141,3;19,05;57,43;Pipe DN 125 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;150;168,3;21,95;79,22;Pipe DN 150 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;200;219,1;22,23;107,93;Pipe DN 200 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;250;273;25,4;155,1;Pipe DN 250 SA-53 ASME B36.10M-2004 Sch XXS
ASME;ASME B36.10M-2004 Sch XXS;Welded and Seamless Wrought Steel Pipe;300;323,8;25,4;186,92;Pipe DN 300 SA-53 ASME B36.10M-2004 Sch XXS
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;100;100;0.5;1.38;Воздуховод из оцинкованной стали Ø100х0.5(S=0.314 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;125;125;0.5;1.73;Воздуховод из оцинкованной стали Ø125х0.5(S=0.393 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;140;140;0.5;1.93;Воздуховод из оцинкованной стали Ø140х0.5(S=0.440 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;160;160;0.5;2.21;Воздуховод из оцинкованной стали Ø160х0.5(S=0.502 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;180;180;0.5;2.48;Воздуховод из оцинкованной стали Ø180х0.5(S=0.565 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;200;200;0.5;2.75;Воздуховод из оцинкованной стали Ø200х0.5(S=0.628 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;225;225;0.5;3.27;Воздуховод из оцинкованной стали Ø225х0.5(S=0.706 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;250;250;0.5;3.80;Воздуховод из оцинкованной стали Ø250х0.5(S=0.785 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;280;280;0.5;4.26;Воздуховод из оцинкованной стали Ø280х0.5(S=0.879 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;315;315;0.5;4.76;Воздуховод из оцинкованной стали Ø315х0.5(S=0.989 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;355;355;0.5;5.36;Воздуховод из оцинкованной стали Ø355х0.5(S=1.115 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;400;400;0.7;7.03;Воздуховод из оцинкованной стали Ø400х0.7(S=1.256 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;450;450;0.7;7.91;Воздуховод из оцинкованной стали Ø450х0.7(S=1.413 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;500;500;0.7;8.80;Воздуховод из оцинкованной стали Ø500х0.7(S=1.570 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;560;560;0.7;9.86;Воздуховод из оцинкованной стали Ø560х0.7(S=1.774 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;630;630;0.7;11.10;Воздуховод из оцинкованной стали Ø630х0.7(S=1.978 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;710;710;0.7;12.51;Воздуховод из оцинкованной стали Ø710х0.7(S=2.256 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;800;800;0.7;14.10;Воздуховод из оцинкованной стали Ø800х0.7(S=2.512 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;900;900;1.0;22.68;Воздуховод из оцинкованной стали Ø900х1.0(S=2.826 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;1000;1000;1.0;25.20;Воздуховод из оцинкованной стали Ø1000х1.0(S=3.140 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;1125;1125;1.0;28.30;Воздуховод из оцинкованной стали Ø1125х1.0(S=3.530 кв.м/п.м.)
Воздуховоды;Воздуховоды круглые;Воздуховоды круглые из оцинкованной стали;1250;1250;1.0;31.40;Воздуховод из оцинкованной стали Ø1250х1.0(S=3.920 кв.м/п.м.)